titulo;descripcion;categoria;latitud;longitud;fecha_hecho
2002-0368-ARG-Desastre natural;Desastre natural de tipo geofísico: Movimiento de tierra.;Desastre natural;-34.0;-64.0;28/5/2002 00:00:00
2007-0135-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación fluvial. Total de muertos: 5;Desastre natural;-34.0;-64.0;20/3/2007 00:00:00
2008-0053-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación fluvial.;Desastre natural;-34.0;-64.0;28/1/2008 00:00:00
2008-0182-ARG-Desastre natural;Desastre natural de tipo geofísico: Caída de ceniza.;Desastre natural;-34.0;-64.0;7/5/2008 00:00:00
2009-0041-ARG-Desastre natural;Desastre natural de tipo hidrológico: Deslizamiento de tierra (húmedo). Total de muertos: 4;Desastre natural;-34.0;-64.0;9/2/2009 00:00:00
2009-0509-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación fluvial. Total de muertos: 7;Desastre natural;-34.0;-64.0;14/11/2009 00:00:00
2011-0209-ARG-Desastre natural;Desastre natural de tipo geofísico: Caída de ceniza.;Desastre natural;-34.0;-64.0;4/6/2011 00:00:00
2012-0593-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación fluvial. Total de muertos: 6;Desastre natural;-34.0;-64.0;20/11/2012 00:00:00
2013-0119-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación fluvial. Total de muertos: 52;Desastre natural;-34.0;-64.0;1/4/2013 00:00:00
2014-0139-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación fluvial.;Desastre natural;-34.0;-64.0;1/4/2014 00:00:00
2015-0349-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación fluvial. Total de muertos: 3;Desastre natural;-34.0;-64.0;5/8/2015 00:00:00
2017-0221-ARG-Desastre natural;Desastre natural de tipo hidrológico: Inundación (General). Total de muertos: 1;Desastre natural;-34.0;-64.0;5/4/2017 00:00:00
2018-0161-ARG-Desastre natural;Desastre natural de tipo metereológico: Tormenta (General). Total de muertos: 2;Desastre natural;-34.0;-64.0;28/4/2018 00:00:00
2021-0002-ARG-Desastre natural;Desastre natural de tipo geofísico: Movimiento de tierra.;Desastre natural;-34.0;-64.0;18/1/2021 00:00:00
